TP9,AF7,AF8,TP10,Right AUX,Color
88.867,36.133,33.203,41.992,14.16,0
61.523,31.738,32.715,33.691,-3.906,0
-31.738,26.367,32.227,13.184,11.719,0
-68.848,26.367,39.062,-18.555,18.066,0
7.324,29.297,36.621,7.324,48.34,0
-97.168,30.273,35.156,-17.578,26.855,0
28.32,32.227,33.691,6.836,-3.906,0
37.109,34.18,30.273,30.273,6.348,0
83.008,38.574,29.785,44.434,92.285,0
99.609,35.156,32.715,40.039,35.645,0
46.875,26.855,36.133,21.973,3.418,0
-10.742,31.25,40.527,10.254,22.461,0
-103.516,36.621,47.363,-50.293,43.945,0
-11.719,34.668,45.898,-24.902,14.648,0
5.371,62.5,53.711,-61.035,3.418,0
-177.734,64.453,54.688,-132.812,-4.883,0
-69.336,40.527,25.391,1.465,-28.809,0
242.676,19.531,15.625,145.996,20.02,0
3.418,11.719,22.461,84.961,40.527,0
72.266,16.602,28.809,69.336,46.387,0
206.055,14.648,27.344,107.91,20.996,0
161.621,21.973,30.762,103.027,27.832,0
75.195,22.461,32.715,50.293,83.008,0
-6.348,29.297,33.691,14.16,38.574,0
-24.902,33.203,38.574,19.531,-32.715,0
14.648,37.598,36.133,28.32,8.789,0
48.828,31.738,32.227,36.621,33.203,0
67.383,22.949,37.598,39.551,7.324,0
-28.809,33.691,34.668,12.695,41.992,0
66.406,33.691,31.738,33.691,5.371,0
-18.555,32.227,35.645,6.348,44.434,0
25.391,34.18,39.551,34.18,14.648,0
-72.266,38.086,34.668,-10.254,22.949,0
-10.742,34.668,34.668,2.441,-28.809,0
131.348,33.203,36.133,59.082,36.133,0
117.188,33.691,35.645,58.105,19.043,0
27.832,30.762,37.109,18.066,32.715,0
-75.195,33.203,41.504,-13.672,28.809,0
129.395,35.645,36.621,56.641,37.598,0
-6.348,35.156,35.156,12.207,93.262,0
147.949,34.668,32.715,57.617,84.473,0
-21.973,38.086,36.621,16.602,0.488,0
58.105,36.133,36.133,37.598,28.809,0
-73.73,31.738,35.156,-16.113,-7.324,0
152.344,30.762,33.691,62.012,-44.922,0
-83.984,38.086,35.156,-18.555,2.93,0
-84.473,35.156,34.668,-27.344,-88.867,0
145.02,35.156,35.156,51.758,33.203,0
-80.566,32.715,37.598,-14.648,54.199,0
-28.32,30.762,34.668,-5.859,66.406,0
-67.871,32.227,38.574,-11.719,-40.527,0
136.719,32.715,35.645,62.988,0,0
148.438,32.715,29.785,55.664,42.969,0
73.242,28.32,35.156,37.109,57.129,0
-9.277,31.25,34.668,-3.418,-1.953,0
-76.66,28.809,33.203,-27.832,40.527,0
53.223,27.832,33.203,41.992,107.91,0
13.184,29.297,39.062,22.461,-14.16,0
27.832,25.391,38.574,14.648,-0.488,0
164.551,26.855,35.645,61.035,27.832,0
-72.754,36.133,33.691,-10.742,79.59,0
124.512,35.645,33.691,49.316,52.246,0
-54.688,28.32,39.062,-2.93,-10.742,0
79.59,34.18,37.598,25.391,36.133,0
-5.371,33.691,37.109,17.578,20.996,0
9.766,35.156,31.25,8.789,4.883,0
-76.172,32.715,32.227,-14.16,-7.812,0
-44.434,31.25,32.227,-4.395,-11.23,0
-63.477,31.738,36.621,-7.812,1.953,0
-22.461,31.25,34.668,-0.488,15.137,0
127.441,29.785,36.133,60.059,36.133,0
